flight_mode,pressure,temp,altitude,latitude,longitude,num_satellites,timestamp,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pt3,pt4,rtd,sv_open,mav_open
0,96496.695,25.849152,409.96466,42.44471,-76.482185,0,83045,0,0,0,-0.16938977,-1.9746178,9.837176,0.48854962,-0.40458015,0.6870229,286,287,294,0,0
0,96494.73,25.849514,410.13376,42.44471,-76.482185,0,83046,0,0,0,-0.18734628,-1.9901801,9.857527,0.46564886,-0.39694658,0.73282444,283,287,294,0,0
0,96493.73,25.845125,410.22095,42.44471,-76.482185,0,83048,0,0,0,-0.17956513,-2.0009542,9.834782,0.48854962,-0.41221374,0.7099237,286,290,297,0,0
0,96495.22,25.841988,410.0915,42.44471,-76.482185,0,83049,0,0,0,-0.18555063,-1.9764135,9.842564,0.45038167,-0.39694658,0.6870229,286,288,294,0,0
0,96496.4,25.840937,409.99106,42.44471,-76.482185,0,83050,0,0,0,-0.16460137,-1.9716251,9.862914,0.36641222,-0.4351145,0.67175573,286,288,294,0,0
0,96494.75,25.836802,410.13376,42.44471,-76.482185,0,83051,0,0,0,-0.16160862,-1.9907787,9.8437605,0.47328246,-0.41984734,0.648855,286,288,294,0,0
0,96495.41,25.835749,410.07562,42.44471,-76.482185,0,83052,0,0,0,-0.17836803,-1.9907787,9.831789,0.4427481,-0.46564886,0.6335878,286,288,293,0,0
0,96496.72,25.834352,409.962,42.44471,-76.482185,0,83053,0,0,0,-0.16639702,-1.9979613,9.845556,0.35877863,-0.3816794,0.6870229,286,286,296,0,0
0,96497.12,25.833519,409.92764,42.44471,-76.482185,0,83054,0,0,0,-0.17357962,-1.9728222,9.85214,0.45038167,-0.4274809,0.7099237,288,289,292,0,0
0,96515.82,25.41914,408.30795,42.44471,-76.482185,0,83088,0,0,0,-0.15502456,-1.9973627,9.7719345,-8.083969,-12,62.648853,295,295,288,0,0
0,96509.67,25.689917,408.84167,42.44471,-76.482185,0,83089,0,0,0,-0.17477672,-1.9662381,9.827001,0.36641222,-0.36641222,0.6793893,285,287,294,0,0
0,96506.89,25.7152,409.08212,42.44471,-76.482185,0,83089,0,0,0,-0.21428105,-1.9841946,9.788693,0.48854962,-0.35114503,0.6793893,285,288,294,0,0
0,96515.13,25.726698,408.3687,42.44471,-76.482185,0,83090,0,0,0,-0.20111294,-1.9818004,9.861717,0.4274809,-0.40458015,0.6412214,286,288,296,0,0
0,96516.78,25.731922,408.2234,42.44471,-76.482185,0,83091,0,0,0,-0.19572599,-1.963844,9.843162,0.46564886,-0.46564886,0.67175573,285,290,294,0,0
